Measure Mode: memory
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   Thread::ConditionVariable#signal
   NaN      0.000     0.000     0.000     0.000        1   MonitorMixin::ConditionVariable#signal
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#add
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#expire
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkin_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#checkin
   NaN      0.000     0.000     0.000     0.000        1   ThreadSafe::NonConcurrentCacheBackend#delete
   NaN      0.000     0.000     0.000     0.000        1   ThreadSafe::MriCacheBackend#delete
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections!
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionHandling#clear_active_connections!
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#rollback_records
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::TransactionState#set_state
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#rollback
   NaN      0.000     0.000     0.000     0.000        1   SQLite3::Database#rollback
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::SQLite3Adapter#exec_rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#rollback_db_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::RealTransaction#rollback
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::TransactionManager#rollback_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#rollback_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#closed?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::Transaction#open?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::TransactionManager#current_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#current_transaction
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction_open?
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#teardown_fixtures
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#after_teardown
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#unsubscribe
   NaN      0.000     0.000     0.000     0.000        2   <Module::ActiveSupport::Notifications>#unsubscribe
   NaN      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#teardown_subscriptions
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::IntegrationTest>#_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_run_teardown_callbacks
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::Testing::SetupAndTeardown#after_teardown
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#after_teardown
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#teardown
   NaN      0.000     0.000     0.000     0.000        1   Minitest::Test::LifecycleHooks#before_teardown
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Integration::Runner#copy_session_variables!
   NaN      0.000     0.000     0.000     0.000        2   String#tr
   NaN      0.000     0.000     0.000     0.000        1   String#delete
   NaN      0.000     0.000     0.000     0.000        1   Rack::MockResponse#body
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::TestResponse>#from_response
   NaN      0.000     0.000     0.000     0.000        2   Rack::MockSession#last_request
   NaN      0.000     0.000     0.000     0.000        2   Rack::Test::Session#last_request
   NaN      0.000     0.000     0.000     0.000        2   Rack::Test::Session#last_response
   NaN      0.000     0.000     0.000     0.000        1   Rack::Test::Session#retry_with_digest_auth?
   NaN      0.000     0.000     0.000     0.000        1   Rack::Response#finish
   NaN      0.000     0.000     0.000     0.000        1   Rack::Test::CookieJar#merge
   NaN      0.000     0.000     0.000     0.000        4   Rack::MockSession#last_response
   NaN      0.000     0.000     0.000     0.000        1   Rails::Rack::Logger#finish
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::QueryCache#disable_query_cache!
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::RuntimeRegistry>#connection_id=
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionHandling#connection_id=
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryCache#restore_query_cache_settings
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response::Buffer#abort
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#abort
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response::RackBody#close
   NaN      0.000     0.000     0.000     0.000        5  *Rack::BodyProxy#close
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils#bytesize
   NaN      0.000     0.000     0.000     0.000        1   Rack::Response#write
   NaN      0.000     0.000     0.000     0.000        5  *Rack::BodyProxy#each
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#each
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#merge!
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#merge
   NaN      0.000     0.000     0.000     0.000        1   Rack::Response#initialize
   NaN      0.000     0.000     0.000     0.000        1   StringIO#string
   NaN      0.000     0.000     0.000     0.000        1   Rack::MockResponse#initialize
   NaN      0.000     0.000     0.000     0.000        1   StringIO#flush
   NaN      0.000     0.000     0.000     0.000       16  *Rack::BodyProxy#respond_to?
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#include?
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TaggedLogging::Formatter#pop_tags
   NaN      0.000     0.000     0.000     0.000        2   Array#clear
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TaggedLogging::Formatter#clear_tags!
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TaggedLogging#clear_tags!
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TaggedLogging#flush
   NaN      0.000     0.000     0.000     0.000        2   <Class::ActiveSupport::LogSubscriber>#logger
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActiveSupport::LogSubscriber>#flush_all!
   NaN      0.000     0.000     0.000     0.000        7   Rack::Utils::HeaderHash#[]
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#write
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#committed?
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#handle_options
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#[]=
   NaN      0.000     0.000     0.000     0.000        1   Array#pack
   NaN      0.000     0.000     0.000     0.000        1   Base64#strict_encode64
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::MessageVerifier#encode
   NaN      0.000     0.000     0.000     0.000        1   <Module::ActiveSupport::MessageEncryptor::NullSerializer>#dump
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::MessageVerifier#generate
   NaN      0.000     0.000     0.000     0.000        1   <Module::Marshal>#dump
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SerializedCookieJars#serialize
   NaN      0.000     0.000     0.000     0.000        2   Hash#symbolize_keys!
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Cookies::SignedCookieJar#[]=
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Session::CookieStore#set_cookie
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session::Options#to_hash
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::Persisted#cookie_value
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Session::CookieStore#set_session
   NaN      0.000     0.000     0.000     0.000        2   Hash#delete_if
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session#to_hash
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::Persisted#security_matches?
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Session::SessionObject#loaded_session?
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::Persisted#commit_session?
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::Persisted#commit_session
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Request::Session#has_key?
   NaN      0.000     0.000     0.000     0.000        1   Rack::ConditionalGet#fresh?
   NaN      0.000     0.000     0.000     0.000       17   Rack::Utils::HeaderHash#[]=
   NaN      0.000     0.000     0.000     0.000        2   Rack::Utils::HeaderHash#initialize
   NaN      0.000     0.000     0.000     0.000        2   <Class::Rack::Utils::HeaderHash>#new
   NaN      0.000     0.000     0.000     0.000        6   Rack::BodyProxy#initialize
   NaN      0.000     0.000     0.000     0.000        1   Digest::Base#finish
   NaN      0.000     0.000     0.000     0.000        1   Digest::Base#initialize_copy
   NaN      0.000     0.000     0.000     0.000        1   Digest::Instance#hexdigest
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#sent!
   NaN      0.000     0.000     0.000     0.000        1   Digest::Base#<<
   NaN      0.000     0.000     0.000     0.000        1   Digest::Class#initialize
   NaN      0.000     0.000     0.000     0.000        1   String#empty?
   NaN      0.000     0.000     0.000     0.000        2   Thread::ConditionVariable#broadcast
   NaN      0.000     0.000     0.000     0.000        2   MonitorMixin::ConditionVariable#broadcast
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#before_sending
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#sending!
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response::Buffer#each
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#each
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response::RackBody#each
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#digest_body
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#skip_caching?
   NaN      0.000     0.000     0.000     0.000        2   ActionDispatch::Response::RackBody#respond_to?
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#etag_body?
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#etag_status?
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response::RackBody#initialize
   NaN      0.000     0.000     0.000     0.000        5   Fixnum#==
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Http::Cache::Response#last_modified?
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Http::Cache::Response#handle_conditional_get!
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#append_charset?
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::Response>#default_charset
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#assign_default_content_type_and_charset!
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#rack_response
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#to_a
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Metal#to_a
   NaN      0.000     0.000     0.000     0.000        1   Fixnum#to_f
   NaN      0.000     0.000     0.000     0.000        1   Float#to_f
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Instrumentation::ClassMethods#log_process_action
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Railties::ControllerRuntime::ClassMethods#log_process_action
   NaN      0.000     0.000     0.000     0.000        1   ActionController::LogSubscriber#process_action
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Instrumentation#append_info_to_payload
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Railties::ControllerRuntime#append_info_to_payload
   NaN      0.000     0.000     0.000     0.000        1   ActionController::RequestForgeryProtection#non_xhr_javascript_response?
   NaN      0.000     0.000     0.000     0.000        1   ActionController::RequestForgeryProtection#marked_for_same_origin_verification?
   NaN      0.000     0.000     0.000     0.000        1   ActionController::RequestForgeryProtection#verify_same_origin_request
   NaN      0.000     0.000     0.000     0.000        1   Float#-
   NaN      0.000     0.000     0.000     0.000        1   Fixnum#*
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#content_type=
   NaN      0.000     0.000     0.000     0.000        1   ActionController::RackDelegation#content_type=
   NaN      0.000     0.000     0.000     0.000        2   ActionController::RackDelegation#content_type
   NaN      0.000     0.000     0.000     0.000        1   AbstractController::Rendering#_process_format
