Measure Mode: allocations
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 3216.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  5.63    783.000   181.000     0.000   602.000      230  *Class#new
  5.04    162.000   162.000     0.000     0.000       57   String#gsub
  3.79    122.000   122.000     0.000     0.000       61   <Class::File>#basename
  3.42    114.000   110.000     0.000     4.000       38   String#sub
  2.92     94.000    94.000     0.000     0.000       34   String#split
  2.74     88.000    88.000     0.000     0.000       44   <Class::File>#join
  2.24     72.000    72.000     0.000     0.000       75   Symbol#to_s
  2.15     69.000    69.000     0.000     0.000       34   Regexp#===
  1.62     52.000    52.000     0.000     0.000       13   Enumerable#sort_by
  1.49     96.000    48.000     0.000    48.000       60   Set#merge
  1.49     48.000    48.000     0.000     0.000       24   Enumerable#find
  1.49    120.000    48.000     0.000    72.000       24   Sprockets::URIUtils#join_file_uri
  1.43    328.000    46.000     0.000   282.000       12   Array#collect
  1.31     68.000    42.000     0.000    26.000       24   Enumerable#any?
  0.93     30.000    30.000     0.000     0.000        1   <Class::Dir>#glob
  0.90     44.000    29.000     0.000    15.000       33   Kernel#dup
  0.84     27.000    27.000     0.000     0.000       26   String#downcase
  0.84   2634.000    27.000     0.000  2607.000      215  *Array#each
  0.78     25.000    25.000     0.000     0.000       13   <Class::File>#dirname
  0.78     25.000    25.000     0.000     0.000       40   Hash#initialize_copy
  0.75    288.000    24.000     0.000   264.000       24   Sprockets::PathDependencyUtils#file_digest_dependency_set
  0.75     96.000    24.000     0.000    72.000       12   Sprockets::Bower#resolve_alternates
  0.75     48.000    24.000     0.000    24.000       12   Sprockets::Resolve#resolve_alternates
  0.75     24.000    24.000     0.000     0.000       31   <Class::Time>#now
  0.75     48.000    24.000     0.000    24.000       24   Enumerable#each_entry
  0.75     24.000    24.000     0.000     0.000       24   Set#add
  0.72     23.000    23.000     0.000     0.000        3   MatchData#[]
  0.68    147.000    22.000     0.000   125.000       30  *Hash#each
  0.68     49.000    22.000     0.000    27.000       23   Array#select
