Measure Mode: process_time_time
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 0.021020
Sort by: self_time

 %self      total      self      wait     child     calls  name
  1.56      0.004     0.000     0.000     0.004      230  *Class#new
  1.44      0.001     0.000     0.000     0.000       60   Set#merge
  1.36      0.001     0.000     0.000     0.000       23   Array#select
  1.20      0.000     0.000     0.000     0.000      137   Kernel#respond_to?
  1.14      0.002     0.000     0.000     0.002       12   Sprockets::Resolve#path_matches
  1.05      0.021     0.000     0.000     0.021        1   ActiveSupport::Testing::Performance::Profiler#run
  1.00      0.000     0.000     0.000     0.000      208   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to?
  0.98      0.004     0.000     0.000     0.004        2   Sprockets::Base#find_asset
  0.97      0.000     0.000     0.000     0.000      111   ThreadSafe::Cache#[]
  0.81      0.000     0.000     0.000     0.000       57   String#gsub
  0.79      0.001     0.000     0.000     0.001       39   Set#initialize
  0.78      0.000     0.000     0.000     0.000        3   String#chomp
  0.78      0.000     0.000     0.000     0.000       75   Symbol#to_s
  0.73      0.000     0.000     0.000     0.000       24   Sprockets::URIUtils#join_file_uri
  0.69      0.001     0.000     0.000     0.000       30  *Hash#each
  0.67      0.000     0.000     0.000     0.000      111   ThreadSafe::NonConcurrentCacheBackend#[]
  0.65      0.000     0.000     0.000     0.000      164   <Class::Thread>#current
  0.63      0.017     0.000     0.000     0.017      215  *Array#each
  0.59      0.003     0.000     0.000     0.003        1   ActionView::Helpers::AssetTagHelper#javascript_include_tag
  0.58      0.000     0.000     0.000     0.000       13   <Class::File>#dirname
  0.57      0.000     0.000     0.000     0.000       34   Regexp#===
  0.56      0.001     0.000     0.000     0.001       23  *MonitorMixin#mon_synchronize
  0.51      0.000     0.000     0.000     0.000       38   String#sub
  0.51      0.000     0.000     0.000     0.000       58   ActiveSupport::PerThreadRegistry#instance
  0.50      0.000     0.000     0.000     0.000        8   IO#write
  0.50      0.000     0.000     0.000     0.000       44   <Class::File>#join
  0.49      0.001     0.000     0.000     0.001       12   Array#collect
  0.47      0.000     0.000     0.000     0.000      105   Kernel#is_a?
  0.46      0.000     0.000     0.000     0.000       23   MonitorMixin#mon_exit
  0.46      0.000     0.000     0.000     0.000       61   <Class::File>#basename
  0.45      0.000     0.000     0.000     0.000       12   Sprockets::Bower#resolve_alternates
  0.44      0.001     0.000     0.000     0.001        8   Logger#add
  0.44      0.000     0.000     0.000     0.000        1   <Class::Dir>#glob
  0.44      0.000     0.000     0.000     0.000       23   MonitorMixin#mon_enter
  0.44      0.000     0.000     0.000     0.000        3   ActiveSupport::JSON::Encoding::JSONGemEncoder#encode
  0.44      0.000     0.000     0.000     0.000       47   Kernel#initialize_dup
  0.43      0.000     0.000     0.000     0.000       12   Sprockets::HTTPUtils#find_q_matches
  0.42      0.000     0.000     0.000     0.000      128   Kernel#class
  0.41      0.000     0.000     0.000     0.000       45   Hash#key?
  0.40      0.000     0.000     0.000     0.000       41   Kernel#kind_of?
  0.39      0.000     0.000     0.000     0.000       40   Hash#initialize_copy
  0.39      0.000     0.000     0.000     0.000        2   <Module::URI>#decode_www_form_component
  0.39      0.000     0.000     0.000     0.000       24   URI::Parser#escape
  0.39      0.000     0.000     0.000     0.000       67   Hash#initialize
  0.38      0.000     0.000     0.000     0.000       92   Kernel#respond_to_missing?
  0.37      0.000     0.000     0.000     0.000      106   Module#===
  0.36      0.000     0.000     0.000     0.000       59   Symbol#to_sym
  0.36      0.000     0.000     0.000     0.000        1   String#each_byte
  0.36      0.000     0.000     0.000     0.000      211   String#===
  0.35      0.000     0.000     0.000     0.000       16   ActiveSupport::SafeBuffer#to_s
  0.35      0.000     0.000     0.000     0.000       24   Set#do_with_enum
  0.33      0.003     0.000     0.000     0.003        2   Sprockets::Resolve#resolve
  0.32      0.000     0.000     0.000     0.000       81   Thread#[]
  0.32      0.000     0.000     0.000     0.000       33   Kernel#dup
  0.32      0.000     0.000     0.000     0.000       52   Set#include?
  0.31      0.005     0.000     0.000     0.005        2   ActionView::Helpers::AssetUrlHelper#asset_path
  0.31      0.004     0.000     0.000     0.004        2   Sprockets::Rails::Helper#compute_asset_path
  0.30      0.000     0.000     0.000     0.000       17   Rack::Utils::HeaderHash#[]=
  0.30      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetUrlHelper#compute_asset_host
  0.29      0.000     0.000     0.000     0.000       29   Kernel#public_send
  0.29      0.001     0.000     0.000     0.001       24   Sprockets::PathDependencyUtils#file_digest_dependency_set
  0.29      0.011     0.000     0.000     0.011        1   ActionView::CompiledTemplates#_app_views_layouts_application_html_erb___2378865841479504511_53499763782160
  0.29      0.000     0.000     0.000     0.000       66   String#to_s
  0.28      0.000     0.000     0.000     0.000       70   Array#first
  0.28      0.000     0.000     0.000     0.000       19   ActiveSupport::SafeBuffer#initialize
  0.28      0.000     0.000     0.000     0.000       24   Sprockets::CachedEnvironment#stat
  0.28      0.000     0.000     0.000     0.000       24   Sprockets::PathUtils#directory?
  0.28      0.000     0.000     0.000     0.000       18   Analytical::Modules::Base#init_location?
  0.28      0.000     0.000     0.000     0.000        3   URI::Generic#initialize
  0.28      0.004     0.000     0.000     0.003        2   Sprockets::Base#resolve_with_compat
  0.28      0.000     0.000     0.000     0.000       34   String#split
  0.27      0.001     0.000     0.000     0.001        6   ActiveSupport::Subscriber#finish
  0.27      0.000     0.000     0.000     0.000       54   String#start_with?
  0.27      0.001     0.000     0.000     0.001       27   ActiveSupport::Notifications::Fanout#listeners_for
  0.27      0.000     0.000     0.000     0.000        2   ActiveRecord::ConnectionAdapters::ConnectionPool#connected?
  0.26      0.000     0.000     0.000     0.000       15   String#html_safe
  0.26      0.006     0.000     0.000     0.006       20  *Array#map
  0.26      0.000     0.000     0.000     0.000        9   String#gsub!
  0.25      0.000     0.000     0.000     0.000       12   Sprockets::Resolve#dirname_matches
  0.25      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#merge!
  0.24      0.000     0.000     0.000     0.000       30   String#blank?
  0.24      0.000     0.000     0.000     0.000       10   Hash#each_pair
  0.24      0.000     0.000     0.000     0.000       23   Object#present?
  0.24      0.000     0.000     0.000     0.000        3   ActionView::Helpers::UrlHelper#link_to_remote_options?
  0.24      0.000     0.000     0.000     0.000       13   Enumerable#sort_by
  0.24      0.000     0.000     0.000     0.000       16   ActiveSupport::SafeBuffer#safe_concat
  0.24      0.000     0.000     0.000     0.000       24   Set#add
  0.24      0.000     0.000     0.000     0.000       73   Kernel#nil?
  0.23      0.000     0.000     0.000     0.000        9   Analytical::Modules::Base#init_location
  0.22      0.000     0.000     0.000     0.000        2   ActionDispatch::Response#initialize
  0.22      0.000     0.000     0.000     0.000       14   Hash#merge
  0.22      0.000     0.000     0.000     0.000       40   Hash#update
  0.22      0.000     0.000     0.000     0.000       39  *Hash#_get
  0.21      0.000     0.000     0.000     0.000       31   <Class::Time>#now
  0.21      0.000     0.000     0.000     0.000       42   Hash#delete
  0.21      0.000     0.000     0.000     0.000       72   Symbol#==
  0.20      0.000     0.000     0.000     0.000       12   ActionView::OutputBuffer#<<
  0.20      0.000     0.000     0.000     0.000       20   Array#join
  0.20      0.000     0.000     0.000     0.000       32   Kernel#instance_variable_defined?
  0.20      0.000     0.000     0.000     0.000       24   Sprockets::URIUtils#build_file_digest_uri
  0.20      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_checkout_callbacks
  0.19      0.000     0.000     0.000     0.000       62   Kernel#instance_of?
  0.19      0.000     0.000     0.000     0.000       57   Kernel#block_given?
  0.19      0.000     0.000     0.000     0.000       38   ActiveSupport::SafeBuffer#html_safe?
  0.19      0.000     0.000     0.000     0.000       58   Hash#include?
  0.19      0.000     0.000     0.000     0.000       31   Time#initialize
  0.19      0.000     0.000     0.000     0.000       26   MonitorMixin#mon_check_owner
  0.19      0.000     0.000     0.000     0.000       11   ERB::Util#unwrapped_html_escape
  0.18      0.000     0.000     0.000     0.000        7   Hash#transform_keys
  0.18      0.020     0.000     0.000     0.020        1   ActionDispatch::Integration::Session#process
  0.18      0.000     0.000     0.000     0.000       12   Sprockets::HTTPUtils#find_best_q_match
  0.18      0.001     0.000     0.000     0.001        8   ActiveSupport::Logger#add
  0.18      0.000     0.000     0.000     0.000        7   ActionDispatch::Request#initialize
  0.18      0.000     0.000     0.000     0.000        5   String#%
  0.18      0.000     0.000     0.000     0.000       12   Array#delete_if
  0.18      0.000     0.000     0.000     0.000       13   Array#include?
  0.18      0.000     0.000     0.000     0.000       18   ActiveSupport::Subscriber#event_stack
  0.17      0.000     0.000     0.000     0.000       43   Kernel#instance_variable_get
  0.17      0.000     0.000     0.000     0.000        6   ActiveSupport::Subscriber#start
  0.17      0.000     0.000     0.000     0.000        6   ActiveSupport::Notifications::Event#initialize
  0.17      0.000     0.000     0.000     0.000       24   Enumerable#each_entry
  0.17      0.000     0.000     0.000     0.000       24   Enumerable#find
  0.17      0.000     0.000     0.000     0.000       24   Enumerable#any?
  0.17      0.000     0.000     0.000     0.000        4   ActionView::Helpers::TagHelper#content_tag_string
  0.17      0.000     0.000     0.000     0.000       29   NilClass#nil?
  0.16      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetUrlHelper#compute_asset_path
  0.16      0.000     0.000     0.000     0.000       12   Hash#merge!
  0.16      0.000     0.000     0.000     0.000       34   String#to_sym
  0.16      0.000     0.000     0.000     0.000        6   Array#delete
  0.16      0.000     0.000     0.000     0.000        8   ActionView::Resolver::Cache#cache
  0.16      0.001     0.000     0.000     0.001       13   ActionDispatch::Request::Session#[]
